(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0015044212341308594, 0.004011789957682292)
(8, 0.0, 0.0)
(8, 0.004141092300415039, 0.005354139539930556)
(8, 0.0009999275207519531, 0.005564814028532609)
(8, 0.0035049915313720703, 0.006502013275588768)
(8, 0.0021033287048339844, 0.006903232672275641)
(16, 0.005999088287353516, 0.012379754707475281)
(16, 0.0017294883728027344, 0.01031710813762971)
(16, 0.0025360584259033203, 0.02743531280950809)
(16, 0.0070002079010009766, 0.01428909316015698)
(16, 0.0030422210693359375, 0.012149603900060939)
(4, 0.0, 0.0)
(4, 0.0010101795196533203, 0.002693812052408854)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(8, 0.0010063648223876953, 0.003302940955528846)
(8, 0.0009980201721191406, 0.006083170572916667)
(8, 0.0, 0.0)
(8, 0.0, 0.0)
(8, 0.0025174617767333984, 0.007160780164930556)
(16, 0.006510019302368164, 0.01199709310499972)
(16, 0.009030818939208984, 0.01289813341760014)
(16, 0.0025234222412109375, 0.011372232155136846)
(16, 0.0015056133270263672, 0.19347426470588236)
(16, 0.0030319690704345703, 0.011047655120649393)
(4, 0.0, 0.0)
(4, 0.0010101795196533203, 0.002693812052408854)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(8, 0.0010063648223876953, 0.003302940955528846)
(8, 0.0009980201721191406, 0.006083170572916667)
(8, 0.0, 0.0)
(8, 0.0, 0.0)
(8, 0.0025174617767333984, 0.007160780164930556)
(16, 0.006510019302368164, 0.01199709310499972)
(16, 0.009030818939208984, 0.01289813341760014)
(16, 0.0025234222412109375, 0.011372232155136846)
(16, 0.0015056133270263672, 0.19347426470588236)
(16, 0.0030319690704345703, 0.011047655120649393)
(4, 0.0, 0.0)
(4, 0.0010101795196533203, 0.002693812052408854)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(8, 0.0010063648223876953, 0.003302940955528846)
(8, 0.0009980201721191406, 0.006083170572916667)
(8, 0.0, 0.0)
(8, 0.0, 0.0)
(8, 0.0025174617767333984, 0.007160780164930556)
(16, 0.006510019302368164, 0.01199709310499972)
(16, 0.009030818939208984, 0.01289813341760014)
(16, 0.0025234222412109375, 0.011372232155136846)
(16, 0.0015056133270263672, 0.19347426470588236)
(16, 0.0030319690704345703, 0.011047655120649393)
(4, 0.0, 0.0)
(4, 0.0010101795196533203, 0.002693812052408854)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(8, 0.0010063648223876953, 0.003302940955528846)
(8, 0.0009980201721191406, 0.006083170572916667)
(8, 0.0, 0.0)
(8, 0.0, 0.0)
(8, 0.0025174617767333984, 0.007160780164930556)
(16, 0.006510019302368164, 0.01199709310499972)
(16, 0.009030818939208984, 0.01289813341760014)
(16, 0.0025234222412109375, 0.011372232155136846)
(16, 0.0015056133270263672, 0.19347426470588236)
(16, 0.0030319690704345703, 0.011047655120649393)
(4, 0.0, 0.0)
(4, 0.0010101795196533203, 0.002693812052408854)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(8, 0.0010063648223876953, 0.003302940955528846)
(8, 0.0009980201721191406, 0.006083170572916667)
(8, 0.0, 0.0)
(8, 0.0, 0.0)
(8, 0.0025174617767333984, 0.007160780164930556)
(16, 0.006510019302368164, 0.01199709310499972)
(16, 0.009030818939208984, 0.01289813341760014)
(16, 0.0025234222412109375, 0.011372232155136846)
(16, 0.0015056133270263672, 0.19347426470588236)
(16, 0.0030319690704345703, 0.011047655120649393)
(4, 0.0, 0.0)
(4, 0.0010101795196533203, 0.002693812052408854)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(8, 0.0010063648223876953, 0.003302940955528846)
(8, 0.0009980201721191406, 0.006083170572916667)
(8, 0.0, 0.0)
(8, 0.0, 0.0)
(8, 0.0025174617767333984, 0.007160780164930556)
(16, 0.006510019302368164, 0.01199709310499972)
(16, 0.009030818939208984, 0.01289813341760014)
(16, 0.0025234222412109375, 0.011372232155136846)
(16, 0.0015056133270263672, 0.19347426470588236)
(16, 0.0030319690704345703, 0.011047655120649393)
(4, 0.0, 0.0)
(4, 0.0010101795196533203, 0.002693812052408854)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(8, 0.0010063648223876953, 0.003302940955528846)
(8, 0.0009980201721191406, 0.006083170572916667)
(8, 0.0, 0.0)
(8, 0.0, 0.0)
(8, 0.0025174617767333984, 0.007160780164930556)
(16, 0.006510019302368164, 0.01199709310499972)
(16, 0.009030818939208984, 0.01289813341760014)
(16, 0.0025234222412109375, 0.011372232155136846)
(16, 0.0015056133270263672, 0.19347426470588236)
(16, 0.0030319690704345703, 0.011047655120649393)
(4, 0.0, 0.0)
(4, 0.0010101795196533203, 0.002693812052408854)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(8, 0.0010063648223876953, 0.003302940955528846)
(8, 0.0009980201721191406, 0.006083170572916667)
(8, 0.0, 0.0)
(8, 0.0, 0.0)
(8, 0.0025174617767333984, 0.007160780164930556)
(16, 0.006510019302368164, 0.01199709310499972)
(16, 0.009030818939208984, 0.01289813341760014)
(16, 0.0025234222412109375, 0.011372232155136846)
(16, 0.0015056133270263672, 0.19347426470588236)
(16, 0.0030319690704345703, 0.011047655120649393)
(4, 0.0, 0.0)
(4, 0.0010101795196533203, 0.002693812052408854)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(4, 0.0, 0.0)
(8, 0.0010063648223876953, 0.003302940955528846)
(8, 0.0009980201721191406, 0.006083170572916667)
